,text
0,안녕하세요
1,주식 분석과 다수입니다
2,금일은 에코프로와 테슬라에 대해서
3,말씀드릴 건데요 자 에코프로가 이전
4,시간에 반드시 반등한다라고 말씀드렸죠
5,금일 같은 경우 마이너스 3.3%
6,정도 하락하다가
7,4.5%까지
8,급등을 했습니다
9,물량을 정리하면서
10,내려가기만 하지 않고 내려가는
11,와중에
12,계속
13,급등한다고 했죠 그래서 이런 형태를
14,보시고 사람들이
15,끝까지
16,기대를 합니다 이렇게 내려갔을 때마다
17,사람들이
18,물타기를 하고 있다
19,물타기를 할 때마다
20,큰손들이
21,물량을
22,넘기고 있다 이러한 과정이 반복되면서
23,급등하는 현상들이 실제로 나오고요
24,사실 이러한 구간에서
25,단타를 치기가 참 좋습니다 그래서
26,이렇게 잘 보시면
27,테슬라 같은 경우 똑같죠 자요
28,그래프하고
29,테슬라의 그래프는 딱 어디에요요
30,지점이 와 있잖아요 그래서 최고점에서
31,내려갔다가
32,급등하고 내려갔다가 자세히 보시면
33,이게 그냥 이렇게 내려가는게 아니고요
34,내려갈 때는
35,항상 기억을 하세요
36,내려가다가 올라가고 내려가다가
37,올라가고 내려가다가 올라갑니다 이게
38,뭐예요
39,물량을 정리할 때는 내리면서
40,정리하는게 아니라 중간중간에 계속해서
41,올리기 때문에요 안에서 탈출할 수
42,있는 시간들이 많이 나온다 그래서
43,이제 에코프로 같은 경우도 마찬가지죠
44,최고점 나오고 내려갔다 올라가고
45,내려갔다
46,급등들이 나오죠이 테슬라의 주가처럼
47,실제로 비슷하게 갈 거예요 잘 보시면
48,이렇게 결과적으로 내려왔잖아요
49,내려오는데
50,내려가는 길에서
51,급등들이 나오기 때문에 여러분들이
52,만약에 에코프로 보유하셨다면
53,탈출할 수 있는 시간들이 계속해서
54,나온다이
55,점 참고하시고 지금은 물타기를
56,한다기보다는
57,급등이 나왔을 때
58,빠져나오시길 바라겠습니다 그래서 이전
59,시간과 동일하게
60,테슬라도 지금 계속해서 연기를
61,보여주고 있죠 이렇게 올라가는
62,모습들이
63,계속 연기하고 있는 거구요
64,테슬라는 현재의 투자 메리트가 크게
65,없습니다 다만 있다고 한다면 이런
66,주식들이 결과적으로 내려가는 과정에서
67,이때만 보시더라도
68,현재 이제 축소시대에 들어간다고 했죠
69,물의 시대는 일본 전성기 한국 전성기
70,홍콩 전성기 대만 전성기라고 했죠
71,작은 나라들이
72,큰 힘을 발휘할 수 있는
73,시대가 열립니다 그래서 아시아
74,국가들이 대세 전성기를 탈 것이고요
75,미국이란 나라는
76,물의 시대하고 전혀 반대의 색깔입니다
77,바로 불의 색을 가진게 바로
78,미국입니다
79,타오르죠 양기라고 하죠 뜨겁죠
80,힘이 세죠 덩치가 크죠
81,키가 정말 큽니다
82,이 미국이 갖고 있는이 불이라는
83,기운이
84,결국에 영끌이기도 하고 대출이기도
85,합니다
86,무모한 도전이기도 합니다
87,현재 미국이란 나라가 결과적으로
88,물의 시대를 만나면서
89,몰락을 하고 있다는 거
90,현재 멤버십 종목으로
91,99.9% 수익 날 종목 5월 22일
92,추천주 가입 버튼 누르시면
93,멤버십 영상 시청 가능하구요
94,금일방송 여기까지 하겠습니다
95,다음 시간에
96,뵙겠습니다
97,감사합니다
98,주가는
99,걱정의 벽을 타고
