,WORD,VIEW,U_DATE,LINK,E_DATE
0,baek,100000.0,2주 전,https://youtube.com/watch?v=d75b3-isnUo&pp=ygUG6rWt67Cl,20230527
1,jong,100000.0,2주 전,https://youtube.com/watch?v=d75b3-isnUo&pp=ygUG6rWt67Cl,20230527
2,won,100000.0,2주 전,https://youtube.com/watch?v=d75b3-isnUo&pp=ygUG6rWt67Cl,20230527
3,also,100000.0,2주 전,https://youtube.com/watch?v=d75b3-isnUo&pp=ygUG6rWt67Cl,20230527
4,gave,100000.0,2주 전,https://youtube.com/watch?v=d75b3-isnUo&pp=ygUG6rWt67Cl,20230527
5,up,100000.0,2주 전,https://youtube.com/watch?v=d75b3-isnUo&pp=ygUG6rWt67Cl,20230527
6,budget,100000.0,2주 전,https://youtube.com/watch?v=d75b3-isnUo&pp=ygUG6rWt67Cl,20230527
7,market,100000.0,2주 전,https://youtube.com/watch?v=d75b3-isnUo&pp=ygUG6rWt67Cl,20230527
8,kookbap,100000.0,2주 전,https://youtube.com/watch?v=d75b3-isnUo&pp=ygUG6rWt67Cl,20230527
9,street,100000.0,2주 전,https://youtube.com/watch?v=d75b3-isnUo&pp=ygUG6rWt67Cl,20230527
10,shock,100000.0,2주 전,https://youtube.com/watch?v=d75b3-isnUo&pp=ygUG6rWt67Cl,20230527
11,recent,100000.0,2주 전,https://youtube.com/watch?v=d75b3-isnUo&pp=ygUG6rWt67Cl,20230527
12,situat,100000.0,2주 전,https://youtube.com/watch?v=d75b3-isnUo&pp=ygUG6rWt67Cl,20230527
13,whi,100000.0,2주 전,https://youtube.com/watch?v=d75b3-isnUo&pp=ygUG6rWt67Cl,20230527
14,young,100000.0,2주 전,https://youtube.com/watch?v=d75b3-isnUo&pp=ygUG6rWt67Cl,20230527
15,peopl,100000.0,2주 전,https://youtube.com/watch?v=d75b3-isnUo&pp=ygUG6rWt67Cl,20230527
16,do,100000.0,2주 전,https://youtube.com/watch?v=d75b3-isnUo&pp=ygUG6rWt67Cl,20230527
17,not,100000.0,2주 전,https://youtube.com/watch?v=d75b3-isnUo&pp=ygUG6rWt67Cl,20230527
18,go,100000.0,2주 전,https://youtube.com/watch?v=d75b3-isnUo&pp=ygUG6rWt67Cl,20230527
19,to,100000.0,2주 전,https://youtube.com/watch?v=d75b3-isnUo&pp=ygUG6rWt67Cl,20230527
20,market,100000.0,2주 전,https://youtube.com/watch?v=d75b3-isnUo&pp=ygUG6rWt67Cl,20230527
21,if,22000,202305,https://youtube.com/watch?v=DvkKea1sAME&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
22,you,22000,202305,https://youtube.com/watch?v=DvkKea1sAME&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
23,do,22000,202305,https://youtube.com/watch?v=DvkKea1sAME&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
24,not,22000,202305,https://youtube.com/watch?v=DvkKea1sAME&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
25,know,22000,202305,https://youtube.com/watch?v=DvkKea1sAME&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
26,you,22000,202305,https://youtube.com/watch?v=DvkKea1sAME&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
27,will,22000,202305,https://youtube.com/watch?v=DvkKea1sAME&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
28,onli,22000,202305,https://youtube.com/watch?v=DvkKea1sAME&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
29,lose,22000,202305,https://youtube.com/watch?v=DvkKea1sAME&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
30,money,22000,202305,https://youtube.com/watch?v=DvkKea1sAME&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
31,bank,22000,202305,https://youtube.com/watch?v=DvkKea1sAME&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
32,financi,22000,202305,https://youtube.com/watch?v=DvkKea1sAME&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
33,benefit,22000,202305,https://youtube.com/watch?v=DvkKea1sAME&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
34,over,22000,202305,https://youtube.com/watch?v=DvkKea1sAME&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
35,65,22000,202305,https://youtube.com/watch?v=DvkKea1sAME&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
36,year,22000,202305,https://youtube.com/watch?v=DvkKea1sAME&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
37,old,22000,202305,https://youtube.com/watch?v=DvkKea1sAME&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
38,all,22000,202305,https://youtube.com/watch?v=DvkKea1sAME&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
39,12,22000,202305,https://youtube.com/watch?v=DvkKea1sAME&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
40,elderli,22000,202305,https://youtube.com/watch?v=DvkKea1sAME&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
41,peopl,22000,202305,https://youtube.com/watch?v=DvkKea1sAME&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
42,appli,22000,202305,https://youtube.com/watch?v=DvkKea1sAME&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
