,WORD,PART,VIEW,U_DATE,LINK,E_DATE
0,translat,NN,812,202305,https://youtube.com/watch?v=iucTJzOImI4&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
1,subtitl,NN,812,202305,https://youtube.com/watch?v=iucTJzOImI4&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
2,system,NN,812,202305,https://youtube.com/watch?v=iucTJzOImI4&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
3,war,NN,812,202305,https://youtube.com/watch?v=iucTJzOImI4&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
4,cosmic,JJ,812,202305,https://youtube.com/watch?v=iucTJzOImI4&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
5,impact,NN,812,202305,https://youtube.com/watch?v=iucTJzOImI4&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
6,rehears,NN,812,202305,https://youtube.com/watch?v=iucTJzOImI4&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
7,how,WRB,1.9천,202305,https://youtube.com/watch?v=c6N4JfRePrE&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
8,to,TO,1.9천,202305,https://youtube.com/watch?v=c6N4JfRePrE&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
9,send,VB,1.9천,202305,https://youtube.com/watch?v=c6N4JfRePrE&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
10,satoshi,NNP,1.9천,202305,https://youtube.com/watch?v=c6N4JfRePrE&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
11,to,TO,1.9천,202305,https://youtube.com/watch?v=c6N4JfRePrE&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
12,the,DT,1.9천,202305,https://youtube.com/watch?v=c6N4JfRePrE&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
13,lightn,VBG,1.9천,202305,https://youtube.com/watch?v=c6N4JfRePrE&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
14,wallet,NN,1.9천,202305,https://youtube.com/watch?v=c6N4JfRePrE&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
15,that,IN,1.9천,202305,https://youtube.com/watch?v=c6N4JfRePrE&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
16,you,PRP,1.9천,202305,https://youtube.com/watch?v=c6N4JfRePrE&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
17,just,RB,1.9천,202305,https://youtube.com/watch?v=c6N4JfRePrE&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
18,have,VBP,1.9천,202305,https://youtube.com/watch?v=c6N4JfRePrE&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
19,to,TO,1.9천,202305,https://youtube.com/watch?v=c6N4JfRePrE&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
20,follow,VB,1.9천,202305,https://youtube.com/watch?v=c6N4JfRePrE&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
21,subprim,NNP,262,202305,https://youtube.com/watch?v=BP-uycUPg4M&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
22,mortgag,NN,262,202305,https://youtube.com/watch?v=BP-uycUPg4M&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
23,crisi,NN,262,202305,https://youtube.com/watch?v=BP-uycUPg4M&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
24,to,TO,262,202305,https://youtube.com/watch?v=BP-uycUPg4M&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
25,see,VB,262,202305,https://youtube.com/watch?v=BP-uycUPg4M&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
26,real,JJ,262,202305,https://youtube.com/watch?v=BP-uycUPg4M&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
27,estat,NN,262,202305,https://youtube.com/watch?v=BP-uycUPg4M&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
28,crash,NN,262,202305,https://youtube.com/watch?v=BP-uycUPg4M&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
29,again,RB,262,202305,https://youtube.com/watch?v=BP-uycUPg4M&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
30,economi,NN,963,202305,https://youtube.com/watch?v=4-NEnT9Km1I&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
31,price,NNS,963,202305,https://youtube.com/watch?v=4-NEnT9Km1I&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
32,and,CC,963,202305,https://youtube.com/watch?v=4-NEnT9Km1I&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
33,bank,NNP,963,202305,https://youtube.com/watch?v=4-NEnT9Km1I&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
34,concern,NNP,963,202305,https://youtube.com/watch?v=4-NEnT9Km1I&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
35,declin,NNP,963,202305,https://youtube.com/watch?v=4-NEnT9Km1I&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
36,alphabet,NNP,963,202305,https://youtube.com/watch?v=4-NEnT9Km1I&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
37,081,CD,963,202305,https://youtube.com/watch?v=4-NEnT9Km1I&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
38,ahn,NNP,963,202305,https://youtube.com/watch?v=4-NEnT9Km1I&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
39,seok,NNP,963,202305,https://youtube.com/watch?v=4-NEnT9Km1I&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
40,hoon,NN,963,202305,https://youtube.com/watch?v=4-NEnT9Km1I&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
41,s,VBD,963,202305,https://youtube.com/watch?v=4-NEnT9Km1I&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
42,new,NNP,963,202305,https://youtube.com/watch?v=4-NEnT9Km1I&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
43,york,NNP,963,202305,https://youtube.com/watch?v=4-NEnT9Km1I&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
44,stock,NNP,963,202305,https://youtube.com/watch?v=4-NEnT9Km1I&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
45,exchang,NNP,963,202305,https://youtube.com/watch?v=4-NEnT9Km1I&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
46,brief,NNP,963,202305,https://youtube.com/watch?v=4-NEnT9Km1I&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
47,230513,CD,963,202305,https://youtube.com/watch?v=4-NEnT9Km1I&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
48,fukushima,NNP,4.5천,202305,https://youtube.com/watch?v=_5a0i3pw4t0&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
