,title,view,u_date,link,e_date
0,Don t forget to pay at the ATM at the convenience store  it s 0 won,700000,3일 전,https://youtube.com/watch?v=So8XCU5GcCs&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
1,Announcers who tongued the amount of the excuse fee increase of the Japanese banks seen in the recent bankruptcy of the Japanese bank fee,75000,3주 전,https://youtube.com/watch?v=4TexwJdsVQI&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
2,Korea Economic TV News lowered brokerage fees for public loans launched by the chairman of the Korea Savings Bank,11000,2주 전,https://youtube.com/watch?v=SnY2vGDGjUw&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
3,Daily Economy TV News Financial Underprivileged Group Expands customer service for the elderly in the banking industry,555,2주 전,https://youtube.com/watch?v=PCoRLCRd4Ks&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
4,Since June  people like this have been unable to make bank ATM cash withdrawals,140000,4일 전,https://youtube.com/watch?v=DUef-LQ-Flk&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
5,Turn off the lights  get rid of the paper  and take a vacation,270000,7일 전,https://youtube.com/watch?v=0N8y3mwkX48&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
6,22 year old consumer complaint bank,140000,3주 전,https://youtube.com/watch?v=_XuWgmvUx9s&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
7,World s First Online One stop Loan Transfer 31st First Fee Disclosure Money Today Broadcast News,637,2주 전,https://youtube.com/watch?v=206FoB5-7nE&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
8,I don t have  50 million  so I took it to a bank account,63,13일 전,https://youtube.com/shorts/WqKb9eGs9HI,20230527
9,If you have this card  you should cancel it immediately  Shinhan KB Kookmin Samsung Hyundai Lotte HanaBC Card,600000,3주 전,https://youtube.com/watch?v=K53BPm4CJOs&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
10,If you do not know  you will only lose money  Bank financial benefits over 65 years old All 12 elderly people apply now 2023 Latest version 8 minutes Arrangement Insurance Pension benefits etc,220000,2주 전,https://youtube.com/watch?v=DvkKea1sAME&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
11,My Child s Rich Making Project Shinhan My Junior Passbook SLite If you trade domestic stocks,160000,3주 전,https://youtube.com/watch?v=Xl4AcHeVd_Q&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
12,186 Coin Fee Imports Like Kim Nam guk Exchange A,360000,11일 전,https://youtube.com/watch?v=rqkQbusvW68&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
13,I ve been paying such a huge fee,144,2주 전,https://youtube.com/watch?v=6ytyFCR4P1w&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
14,Google YouTube and other profits What kind of bank should you get the most benefits Focus Shorts,694,12일 전,https://youtube.com/shorts/3BIY24gWNoQ,20230527
15,Even if you only get paid for the salary club  you can get a lot of prizes,98,10일 전,https://youtube.com/watch?v=l_1oVfv-FxM&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
16,I made a foreign currency account  but it is a confusing commission  Exchange commission withdrawal fee Won commission transfer fee,64,4주 전,https://youtube.com/watch?v=zRc2euFbwTM&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
17,When the middle plate and the pin tech company are united  you make money because the end of the trade remittance comes out,351,1개월 전,https://youtube.com/watch?v=eiohWg0QMig&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
18,The loan of 37 trillion won  which was delayed due to the 5 major banks  corona  Yonhap News TV YonhapnewsTV,14000,2주 전,https://youtube.com/watch?v=SSlGdCKohA4&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
19,Essential Knowledge of Hana Bank s US Real Estate Tour 3 shorts,122,2주 전,https://youtube.com/shorts/khubZhXMLG4,20230527
20,How much would you get if you exchanged 100 000 won for 50 000 won at Shinhan Bank in Vietnam,24000,2주 전,https://youtube.com/shorts/AvwRWA0WC1U,20230527
21,97 people do not know every month  and they pay half of the money,461,2주 전,https://youtube.com/watch?v=whXWiowb4Ew&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
22,S0222 Comparison of earnings of three major Internet banks in Korea 20162022 Kakao Bank K Bank Toss Bank shorts,12000,2주 전,https://youtube.com/shorts/A7s3cajMzOU,20230527
23,Didn t you get the general income tax notice  Check it out like this,684,3주 전,https://youtube.com/watch?v=rcswPs1ZDW0&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
24,Please note that there are no more than three monthly payments,30000,2주 전,https://youtube.com/watch?v=KRenY3aIUpI&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
25,A new way to save money on exchange fees l Chosun Ilbo Economy Department 5 minute cutback prepaid card Yoo So yeon reporter,590,1개월 전,https://youtube.com/watch?v=bsOkmxOAyJY&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
26,Interest rate outlook Let s look at the BOK s interest rate outlook based on US interest rate adjustment Interest rate outlook Bank of Korea,752,8일 전,https://youtube.com/watch?v=t84Q1jbesRE&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
27,4 Responses to Apple  What Do You Think,35000,4주 전,https://youtube.com/shorts/DWNnz-XVxws,20230527
28,If you do not know this  you may get a tax bomb,20000,2주 전,https://youtube.com/watch?v=KGh4Q5mx9Zw&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
29,Why don t you buy XX instead of trusting it when the bank goes bankrupt,747,13일 전,https://youtube.com/watch?v=R5OiW3C0oic&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
30,Nonghyup Point Cash Deposit Nonghyup Bank nh Point Cashback Cash Deposit Nonghyup Point Point Cash Transfer Account Transfer,843,3주 전,https://youtube.com/shorts/rA9Q_lsCb8U,20230527
31,TMF Fee Dividend Ratio Management Company Stability History is perfectly organized,34000,2주 전,https://youtube.com/watch?v=RpI1i2AmjMk&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
32,Reporters who say they want to allow investment banking business 0511,75,2주 전,https://youtube.com/watch?v=iutLnGmnLNs&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
33,Give me 20 when you get the compensation for conscription Wow Left s commission business,66000,2일 전,https://youtube.com/watch?v=WwNwGPtTRjI&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
34,The reason why I lost money when exchanging money,488,7일 전,https://youtube.com/shorts/2HcZk0EZRJ0,20230527
35,If you do this bank transaction  you will get 1 million won cash back,1000,2주 전,https://youtube.com/watch?v=9R3DZ_J8gx8&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
36,Jecheon Nonghyup Bank Credit Guarantee Foundation Youth Project Support,142,11일 전,https://youtube.com/watch?v=df3gjxEBsY0&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
37,65 years old Benefits 68 bank fees Free Industrial Bank of Korea 65 years old or older Benefits shorts,23000,8일 전,https://youtube.com/shorts/QCwyMYv--C0,20230527
38,Let s dissect the lowest interest rate mortgage Kakao Bank products,130000,3주 전,https://youtube.com/watch?v=9axgmnSQjlE&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
39,Promotion of competition by changing interest rates Unexpected expectations Yonhap News TV YonhapnewsTV,710,13일 전,https://youtube.com/watch?v=G6Tsv4WNJXc&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
40,The Japanese jammin  who has lost 160 billion won in this action,110000,3주 전,https://youtube.com/shorts/U8Re9PTPcng,20230527
41,KB Kookmin Bank Emergency Loan Qualification Conditions Interest Rate Limit Notes Shorts,109,3주 전,https://youtube.com/shorts/a9mMSEI6fHI,20230527
42,Do you know that you re paying a huge fee for life,15000,2주 전,https://youtube.com/shorts/cFB7CbT3rXA,20230527
43,Why are the nymphs weak,350000,2주 전,https://youtube.com/shorts/yJQ9gbAgt5A,20230527
44,An Analysis of Bank of Korea Governor Lee Chang Yong s Economic Outlook,22,3주 전,https://youtube.com/shorts/ldIRdh6XEhk,20230527
45,As a result of concentrating on inclusive finance  such as increasing the size of low end loans in the cacao bank  the delinquency rate of loans increased,174,2주 전,https://youtube.com/watch?v=5Sjf0L01m8U&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
46,The banking crisis is finally resolved  but it is news that JP Morgan s Republic Bank news and coins are included in the public disclosure of public property,807,3주 전,https://youtube.com/watch?v=RoGtyEaz_54&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
47,0503 BTC New bull market starts Half of US banks go bankrupt FOMC outlook for institutions News Bitcoin Etherium Ripple Dodge Upbit NFT,158,3주 전,https://youtube.com/watch?v=L2dblLwUYZc&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
48,0578 Comparison of the results of the three major Internet banks in Korea 20162022 Kakao Bank K Bank Toss Bank,296,3주 전,https://youtube.com/watch?v=6cCINhFkCxo&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
49,requesting deposit and withdrawal notification,650,2주 전,https://youtube.com/watch?v=kACw_hxgFoU&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
50,Travel Wallet Japan ATM usage Shorts withdrawal from abroad without withdrawal fees,742,2주 전,https://youtube.com/shorts/0VWpG7KPtFk,20230527
51,Banking is changing due to voice phishing damage,26000,2주 전,https://youtube.com/watch?v=y1rOUBAPa0U&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
52,Busan Bank Kyungnam Bank Special Lecture 2023 Comprehensive Interview Competency Interview Discussion Interview,356,2주 전,https://youtube.com/watch?v=AtDz0U1VsEQ&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
53,The competition for loan interest rates is just starting to rise,900,2주 전,https://youtube.com/watch?v=Q8A32PDHimY&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
54,Overseas Travel Essential Card Exchange Preferential 100 How to use it as a standard rate of sale I have already saved a 500 000 won commission to the event,67000,3주 전,https://youtube.com/watch?v=QER9nxx_YwI&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
55,NVIDIA Meta 52 week report Ahn Seok hoon s New York Stock Exchange Briefing 230502,16000,스트리밍 시간: 3주 전,https://youtube.com/watch?v=PJDLiZpQ5hM&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
56,Tomato System April 27th I made a listing fee  I succeeded in escaping,41000,4주 전,https://youtube.com/watch?v=nS8EYwts5Zo&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
