,title,view,u_date,link,e_date
0,Baek Jong won also gave up budget market Kookbap street shocking recent situation Why young people do not go to market,100000.0,2주 전,https://youtube.com/watch?v=d75b3-isnUo&pp=ygUG6rWt67Cl,20230527
1,If you do not know  you will only lose money  Bank financial benefits over 65 years old All 12 elderly people apply now 2023 Latest version 8 minutes Arrangement Insurance Pension benefits etc,22000,202305,https://youtube.com/watch?v=DvkKea1sAME&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
2,22 year old consumer complaint bank,14000,202305,https://youtube.com/watch?v=_XuWgmvUx9s&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
3,My Child s Rich Making Project Shinhan My Junior Passbook SLite If you trade domestic stocks,160000,202305,https://youtube.com/watch?v=Xl4AcHeVd_Q&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
4,Google YouTube and other profits What kind of bank should you get the most benefits Focus Shorts,690000,202305,https://youtube.com/shorts/3BIY24gWNoQ,202305
5,You re gonna find a dirt road and go for a run,3200,202305,https://youtube.com/watch?v=6yBZQ6R964I&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
6,How much would you get if you exchanged 100 000 won for 50 000 won at Shinhan Bank in Vietnam,2400,202305,https://youtube.com/shorts/AvwRWA0WC1U,202305
7,I don t have  50 million  so I took it to a bank account,60000,202305,https://youtube.com/shorts/WqKb9eGs9HI,202305
8,Even if you only get paid for the salary club  you can get a lot of prizes,100000,202305,https://youtube.com/watch?v=l_1oVfv-FxM&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
9,The loan of 37 trillion won  which was delayed due to the 5 major banks  corona  Yonhap News TV YonhapnewsTV,1400,202305,https://youtube.com/watch?v=SSlGdCKohA4&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
10,When the middle plate and the pin tech company are united  you make money because the end of the trade remittance comes out,350000,202305,https://youtube.com/watch?v=eiohWg0QMig&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
11,Jeonbuk Bank non face to face transaction transfer fee exemption,30000,202305,https://youtube.com/watch?v=L5IMj_RO7E0&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
12,How to get a preferential exemption from bank transaction fees Even if you are not an employee  anyone with a payroll account can get a preferential fee,34000,202305,https://youtube.com/watch?v=WeazPXoLMc0&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
13,Duplicate benefits for the next level of basic livelihood recipients Exemption of bank fees Discount on rice prices Half price discount on fines,98000,202305,https://youtube.com/watch?v=EAjutjmnS-0&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
14,3 Ways to Get Unemployed Youth Loans Without Proof of Income Shorts,630000,2주 전,https://youtube.com/shorts/KLo2IS4Txj8,20230527
15,Multi level stock price manipulation unit Radokyun representative fee Laundry window suspicion of using high priced picture May 18 neck full image digital only,30000,스트리밍 시간: 8일 전,https://youtube.com/watch?v=xbKH-FC_oLw&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
16,Coinbase Bitcoin News Stable Coin NFT Bitcoin ETH XRP ADA CRYPTO Blockchain 2023,1500,2주 전,https://youtube.com/watch?v=oRnczWAbmkQ&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
17,Wall Street has a fee of 20  but stock price manipulation surpasses Wall Street,26000,3주 전,https://youtube.com/watch?v=96uZFExaGOE&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
18,Economic savings bank crisis caught in hand It seems to record deficit in 9 years MBC 230511 broadcast,11000,2주 전,https://youtube.com/watch?v=de2F314mHbw&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
19,The five largest banks  potential bad loans amounted to about 37 trillion won,1900,2주 전,https://youtube.com/shorts/ku4V6xTzj48,20230527
20,Tesla 257 Amazon 398 Ahn Seok hoon s New York Stock Exchange Briefing 230429,880000,3주 전,https://youtube.com/watch?v=pkrpiCRtfFw&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
21,Honey Tips to Save Travel Expenses,370000,3주 전,https://youtube.com/shorts/gFaC_XA21WM,20230527
22,Life in Japan 9 Making a passbook in Japan Yucho Bank Account International Student Check Card Post Office Account Ueno Branch Opening Preparation,200000,2주 전,https://youtube.com/watch?v=qu6jYQBJkhA&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
23,U S  to enforce new mortgage rules from May  double credit score higher homebuyer fees,1400,3주 전,https://youtube.com/watch?v=bx_zsCNR1TA&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
24,Aim for ETFs rather than gold  which is the best shot of the year,130000,2주 전,https://youtube.com/watch?v=5iI56LQy300&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
25,Promotion of competition by changing interest rates Unexpected expectations Yonhap News TV YonhapnewsTV,710000,13일 전,https://youtube.com/watch?v=G6Tsv4WNJXc&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,20230527
