,title,view,u_date,link,e_date
0,translation subtitle system war cosmic impact rehearsal,812,202305,https://youtube.com/watch?v=iucTJzOImI4&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
1,How to send Satoshi to the lightning wallet that you just have to follow,1.9천,202305,https://youtube.com/watch?v=c6N4JfRePrE&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
2,Subprime mortgage crisis to see real estate crash again,262,202305,https://youtube.com/watch?v=BP-uycUPg4M&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
3,Economy  Prices and Bank Concerns Decline Alphabet 081 Ahn Seok hoon s New York Stock Exchange Briefing 230513,963,202305,https://youtube.com/watch?v=4-NEnT9Km1I&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
4,Fukushima Pollution Water Related Position Kim Dae ki Scientifically  if safety is not detected,4.5천,202305,https://youtube.com/watch?v=_5a0i3pw4t0&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
5,RippleCoin will increase its price at this time,1.5만,202305,https://youtube.com/watch?v=Qmeouu8NUY8&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
6,A magical video that you want to run when you see your mouth ep2,8.7천,202305,https://youtube.com/watch?v=UK_r3ezDjAg&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
7,One top overseas futures real time May 24 real time overseas futures Nasdaq Oil Gold Hang Seng US stock market decline debt ceiling negotiation delay NVIDIA earnings AI related Fed member hawking recession small and medium sized banks volatility bitcoin mixed tax,2일 전,202305,https://youtube.com/watch?v=pTgVW19YbTE&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
8,Prepare to sweep the Bitcoin pool house when and why,2일 전,202305,https://youtube.com/watch?v=oF5oe9qOn0Y&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
9,Traveling around the world A beautiful place where the sense of Turkey is awakened 4,1일 전,202305,https://youtube.com/watch?v=qaeuxOtTLKE&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
10,The Most Efficient Way to Invest in Gold,3일 전,202305,https://youtube.com/watch?v=Jm3hIHv5Twk&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
11,Translated by Dr Kim Jeong min,3일 전,202305,https://youtube.com/watch?v=Sw5eyWy2IrU&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
12,Incheon New Construction Villa Owner Margin Abandonment Cost Sale Price 5 000 Reduction In the lifetime,3일 전,202305,https://youtube.com/watch?v=GjvgZYJjkaQ&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
13,Bitcoin is 10 times faster than 20 times faster,2일 전,202305,https://youtube.com/watch?v=45BQVSTDJe8&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
14,Pyeongchon Centum First Apartment offers 10 discounts and more than 20 million won free of charge,10시간 전,202305,https://youtube.com/watch?v=yJzDjYY5Zd4&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
15,Bitcoin Emergency Prescription Why I should enjoy the decline of a huge opportunity to change my life in the future,15시간 전,202305,https://youtube.com/watch?v=rmhQNR6amMs&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
16,Bucheon new apartment building Lifelong unblocked south facing park view A family of four has no problem 30 pyeong apartment,2일 전,202305,https://youtube.com/watch?v=rz8gv0MF0OU&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
17,Ansan new construction villa is really cool missing structure living room view without clogging,2일 전,202305,https://youtube.com/watch?v=lKeUV2qtXP0&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
18,It is annoying  but it is surely 31100 won,1일 전,202305,https://youtube.com/watch?v=Q75qG6zJiFo&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
19,Jamsil Els collapsed Resentz Trizium Jamsil Jugong Complex 5 Helio City Dunchon Jugong fainted,4시간 전,202305,https://youtube.com/watch?v=r2z089y6gEU&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
20,Korean Church CPR Kim Hana s Hope Salary of 12 million won per month,3일 전,202305,https://youtube.com/watch?v=73NbVgRjP2g&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
21,Yushin Sho Independent Film Huapochun Semena 2,1일 전,202305,https://youtube.com/watch?v=YMG06OW8LXo&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
22,XRP is a worthless coin  XRP will enjoy institutional adoption as the only regulated asset    1 billion reserve Gum reserve,2일 전,202305,https://youtube.com/watch?v=WFU8CqUncYI&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
23,0 000001 won Dust Coin 1000 profit,2일 전,202305,https://youtube.com/watch?v=IzDshWT0JMo&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
24,Special price Incheon new construction villa house does not cost 100 won 100 full loan perfect non resident site 200 million discounts for the remaining households,13시간 전,202305,https://youtube.com/watch?v=DK0qvDgTnE8&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
25,Translated by Freemasons and Scissors Museum,3일 전,202305,https://youtube.com/watch?v=9TYjLaPqmIw&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
26,Translated by  Dr  Kim Jung min,2일 전,202305,https://youtube.com/watch?v=hpzsBAuR6cs&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
27,Key Basic English Conversation Bank English Conversation English Expression English Listening English Listening English Listening English Study,1일 전,202305,https://youtube.com/watch?v=sN3hOF4rXGg&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
28,Special Apartments Bucheon New Construction Apartments Retired Special Household Line 1 Sosa Station 10 minutes walk Station Apartments Lifelong unobstructed roads View Housewife s Romantong Veranda,1일 전,202305,https://youtube.com/watch?v=TNgTEVUf4Jc&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
29,I ll live for a month in detail  What should I ride in detail  It s a ridestal bus  but this is safer,1일 전,202305,https://youtube.com/watch?v=iLGM7wLHLAA&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
30,Mortgage loans Internet banks are at the lowest interest rate  but if you have a good rating,15시간 전,202305,https://youtube.com/watch?v=EXhh9iskDg4&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
31,Ansan new construction villa cancellation generation opportunity that came again Do not miss this time The lowest price of single generation,16시간 전,202305,https://youtube.com/watch?v=dPoGK81f1HY&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
32,Special price Incheon new construction villa 18th floor 12th floor Royal household prepared First come first served first generation residence 1 000 successful house establishment Incheon Line 1 Ganseok Oguri Station 10 minutes walk station area,1일 전,202305,https://youtube.com/watch?v=1747BbhPbj0&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
33,Residual special price generation Incheon new construction apartment 200 million units southbound 4 BAY structure apartment Welcoming inquiries for individual warehouses by households,1일 전,202305,https://youtube.com/watch?v=B3tey9jVDpI&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
34,Former president speechwriter Ripplesa Coinbase wins judge asks SEC to reach out,1.1만,202305,https://youtube.com/watch?v=5RbTlcAG7Uk&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
35,For those of you who don t have a mortgage  save it like this,11만,202305,https://youtube.com/watch?v=z9cIRZhdNXg&pp=ygUQ7J2A7ZaJIOyImOyImOujjA%3D%3D,202305
